brandid,stationid,brand,name,address,isAdBlueAvailable,location.latitude,location.longitude,stationcode,fueltype,price,lastupdated
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,DL,188.7,13/05/2025 23:25:02
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,E10,173.7,13/05/2025 22:50:01
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,E85,219.9,21/09/2023 02:35:10
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,P95,190.7,15/05/2025 01:50:02
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,P98,196.7,13/05/2025 22:50:01
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,PDL,190.7,13/05/2025 23:25:02
1-GFYV-11,1-25EGFEF,United,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",False,-33.511231,151.318092,972,U91,175.7,13/05/2025 22:50:01
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,DL,164.5,15/05/2025 02:20:01
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,E10,159.5,20/05/2025 19:45:02
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,LPG,109.9,29/04/2025 04:55:01
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,P95,178.5,15/05/2025 02:20:01
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,P98,181.5,20/05/2025 19:45:02
1-GFYV-11,1-27WFD0H,United,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",True,-33.56288,150.83842,2051,U91,161.5,20/05/2025 19:45:02
1-3L9CXTK,1-2AHQUAN,Ampol,Toowoon Bay Service Station,"142 Bay Rd, TOOWOON BAY NSW 2261",False,-33.360126,151.497039,2117,DL,179.9,14/05/2025 21:21:08
1-3L9CXTK,1-2AHQUAN,Ampol,Toowoon Bay Service Station,"142 Bay Rd, TOOWOON BAY NSW 2261",False,-33.360126,151.497039,2117,P95,179.9,14/05/2025 21:21:08
1-GFYV-6,1-2AHS0MQ,Metro Fuel,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",False,-34.562617,150.819412,2118,E10,159.9,13/05/2025 11:18:51
1-GFYV-6,1-2AHS0MQ,Metro Fuel,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",False,-34.562617,150.819412,2118,P98,179.9,14/05/2025 07:50:28
1-GFYV-6,1-2AHS0MQ,Metro Fuel,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",False,-34.562617,150.819412,2118,PDL,169.9,12/05/2025 06:03:31
1-GFYV-6,1-2AHS0MQ,Metro Fuel,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",False,-34.562617,150.819412,2118,U91,161.9,13/05/2025 11:18:51
1-3L9CXTK,1-2AYH9N2,Ampol,Ampol Foodary Brunswick Heads Rh,"5 Tweed St, BRUNSWICK HEADS NSW 2483",False,-28.538168,153.548694,2122,E10,177.9,07/03/2025 14:08:06
